Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get User (Request),861,1366,291,12863,1726.30,0.000%,2.04765,66.97,0.57,33488.4
Get Viewings (Request),2147,2901,155,14197,2693.77,0.652%,5.07336,4.18,1.61,843.3
Get Offers (Request),2137,2826,145,14891,2793.30,0.655%,5.05662,3.71,1.45,752.3
Get Notifications (Request),2121,1767,70,12558,2394.99,0.236%,5.03992,3.19,1.48,648.9
Get Filters (Request),2116,1261,59,12240,2377.98,0.047%,5.08692,4.50,1.46,905.5
Match Blobs for All Props Ids (Request),2116,4273,115,53900,4112.57,0.473%,5.02434,116.15,1.63,23671.3
Match Blobs for 1000 Props with Locations (Request),2085,5147,130,60161,4908.45,0.863%,4.94884,111.58,1.71,23087.7
Graphql Fetch 20 Properties Page (Request),3984,5095,242,59653,4850.38,2.008%,9.52345,267.57,29.10,28770.2
Check Property (Request),19320,3450,80,54347,3776.07,0.895%,46.30462,547.53,178.35,12108.2
TOTAL,36887,3432,59,60161,3874.57,0.854%,86.81275,1108.53,213.58,13075.7
