Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get User (Request),758,667,315,1938,244.62,0.000%,1.80505,59.03,0.50,33488.2
Get Viewings (Request),1959,2071,156,30677,1528.52,0.000%,4.63229,2.89,1.47,638.0
Get Offers (Request),1942,2193,141,21334,1489.99,0.000%,4.60528,2.46,1.32,546.0
Get Notifications (Request),1928,1119,72,18131,1075.22,0.000%,4.57629,2.57,1.34,576.0
Get Filters (Request),1925,469,59,10367,726.51,0.000%,4.59579,4.00,1.32,892.3
Match Blobs for All Props Ids (Request),1925,4318,121,34241,4151.84,0.000%,4.54322,129.26,1.47,29134.8
Match Blobs for 1000 Props with Locations (Request),1893,5552,164,30790,4094.74,0.000%,4.47750,106.96,1.54,24461.8
Graphql Fetch 20 Properties Page (Request),3680,3855,268,33557,2970.37,0.000%,8.75546,250.93,26.75,29348.0
Check Property (Request),18117,2184,143,21895,1370.81,0.006%,43.24217,515.67,166.55,12211.4
TOTAL,34127,2475,59,34241,2364.90,0.003%,80.30808,1062.04,199.56,13542.0
