Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Update Filters With Area (Request),271,1298,70,8404,1168.02,0.000%,.64273,0.56,0.37,900.0
Update Filters WITHOUT Area (Request),54,1289,91,6093,1302.41,0.000%,.12999,0.11,0.07,865.0
TOTAL,325,1297,70,8404,1191.40,0.000%,.77080,0.67,0.44,894.2
