Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get User (Request),500,1915,383,9691,1458.17,0.000%,48.50601,1586.59,13.55,33494.1
Get Viewings (Request),700,8365,173,60188,14951.02,7.429%,1.56998,1.24,0.46,808.3
Get Offers (Request),657,5536,147,60172,6705.53,1.218%,1.47328,0.83,0.42,575.0
Get Notifications (Request),638,4252,72,60160,7385.58,1.254%,1.45846,0.86,0.42,605.5
Get Filters (Request),626,4581,59,60204,10265.25,2.875%,1.42024,1.32,0.40,951.1
Match Blobs for All Props Ids (Request),616,30249,115,60284,24921.27,38.636%,1.44111,32.96,0.29,23418.0
Match Blobs for 1000 Props with Locations (Request),561,49760,160,60410,20482.17,83.779%,1.28903,6.22,0.09,4940.8
Graphql Fetch 20 Properties Page (Request),1046,35115,287,60520,24648.56,47.992%,2.41255,39.27,3.83,16669.9
Check Property (Request),4568,25354,152,60522,22223.70,26.554%,10.48623,99.82,29.66,9747.5
TOTAL,9912,21704,59,60522,23347.03,25.313%,22.19391,213.92,35.01,9870.1
