Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Update Filters With Area (Request),156,2324,70,48961,4372.24,0.641%,.36942,0.40,0.21,1107.4
Update Filters WITHOUT Area (Request),31,1922,73,7447,1929.17,0.000%,.07835,0.07,0.04,865.0
TOTAL,187,2257,70,48961,4072.69,0.535%,.44283,0.46,0.25,1067.2
