Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get User (Request),150,444,248,1791,238.40,0.000%,.83688,27.37,0.23,33484.8
Get Viewings (Request),377,1106,162,20049,1265.36,0.000%,2.04375,1.27,0.65,638.0
Get Offers (Request),371,1090,144,5575,877.50,0.000%,2.05416,1.10,0.59,546.0
Get Notifications (Request),369,686,75,7388,739.69,0.000%,2.05196,1.15,0.60,576.0
Get Filters (Request),367,419,59,6612,745.44,0.000%,2.05579,1.63,0.59,814.2
Match Blobs for All Props Ids (Request),367,2044,197,11871,1707.60,0.000%,2.03250,59.19,0.66,29819.1
Match Blobs for 1000 Props with Locations (Request),365,3031,259,10548,1879.63,0.000%,2.02280,56.49,0.70,28594.7
Graphql Fetch 20 Properties Page (Request),695,1869,243,9662,1244.47,0.000%,3.86422,110.75,11.81,29348.0
Check Property (Request),3420,1339,144,9535,1028.75,0.000%,19.09313,227.72,73.54,12213.0
TOTAL,6481,1393,59,20049,1266.39,0.000%,35.06617,473.02,86.69,13813.2
