Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Check Property (Request),8700,8243,155,810014,35483.98,0.644%,6.78399,80.52,25.96,12153.4
Match Blobs for 1000 Props with Locations (Request),1010,17713,224,809961,58309.14,2.079%,.78738,16.58,0.27,21565.9
Get Filters (Request),1037,4348,60,809922,46785.11,0.386%,.81413,0.65,0.23,823.4
Match Blobs for All Props Ids (Request),1034,18716,111,809875,54673.73,2.805%,.80642,20.78,0.25,26382.1
Get Offers (Request),1058,5397,170,764839,23664.28,0.189%,.85529,0.47,0.24,558.4
Graphql Fetch 20 Properties Page (Request),1845,15998,316,809962,33858.12,0.705%,1.43871,40.97,4.37,29162.0
Get Notifications (Request),1047,6458,78,770178,50656.86,0.573%,.84771,0.49,0.25,589.9
Get Viewings (Request),1069,5749,304,770217,33269.48,0.187%,.86045,0.54,0.27,642.4
Get User (Request),471,6122,338,764858,42119.95,0.425%,.38325,12.48,0.11,33355.7
TOTAL,17271,9524,60,810014,39892.32,0.782%,13.46381,172.86,31.91,13146.8
