Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Update Filters With Area (Request),158,4982,93,60193,7890.02,2.532%,.12998,0.11,0.07,876.3
Update Filters WITHOUT Area (Request),30,5926,156,60221,10553.66,3.333%,.02494,0.02,0.01,859.4
TOTAL,188,5133,93,60221,8379.22,2.660%,.15466,0.13,0.09,873.6
