Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get User (Request),502,16871,277,55329,14830.39,0.000%,1.23401,40.34,0.34,33478.1
Get Viewings (Request),1375,8047,193,34717,6483.77,0.000%,3.16066,1.97,1.00,638.0
Get Offers (Request),1348,8434,159,41249,6614.63,0.000%,3.10135,1.65,0.89,546.0
Get Notifications (Request),1319,5109,84,37740,5701.00,0.000%,3.06290,1.72,0.90,576.0
Get Filters (Request),1302,3322,61,26970,5180.89,0.000%,3.06006,2.43,0.88,814.6
Match Blobs for All Props Ids (Request),1293,14172,332,60185,9443.42,0.696%,2.94279,80.92,0.95,28156.3
Match Blobs for 1000 Props with Locations (Request),1228,13829,394,60219,9542.03,0.896%,2.80177,53.12,0.96,19413.7
Graphql Fetch 20 Properties Page (Request),2181,15242,584,60467,9248.40,0.825%,4.96187,141.15,15.04,29130.0
Check Property (Request),10026,10539,308,60368,7643.50,0.908%,22.84946,270.64,87.21,12128.8
TOTAL,20574,10507,61,60467,8607.59,0.627%,46.42274,585.29,107.02,12910.5
