Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get User (Request),3022,722,86,11001,1104.18,77.333%,7.19347,65.56,0.46,9332.9
Get Viewings (Request),8557,1052,0,30510,2401.10,84.784%,20.22568,39.94,0.98,2022.1
Get Offers (Request),8538,1050,1,28557,2423.88,85.652%,20.18435,39.82,0.84,2020.1
Get Notifications (Request),8507,656,0,16018,1294.41,85.753%,20.27997,39.98,0.85,2018.9
Get Filters (Request),8489,469,0,14019,814.39,85.416%,20.31576,40.68,0.85,2050.2
Match Blobs for All Props Ids (Request),8480,1914,0,119280,5516.67,84.528%,20.19355,116.49,1.01,5907.3
Match Blobs for 1000 Props with Locations (Request),8436,1769,0,119880,5456.66,86.949%,20.12035,90.91,0.91,4626.9
Graphql Fetch 20 Properties Page (Request),16639,1969,1,112230,5787.12,87.818%,39.66303,215.28,14.87,5558.0
Check Property (Request),82315,1267,0,111764,3960.99,87.117%,196.42772,678.34,98.32,3536.3
TOTAL,152983,1294,0,119880,4046.60,86.465%,360.48589,1311.72,117.62,3726.1
